Sample	Gene	Impact	CNV
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SDK2	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	TENM4	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ZNF683	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ZYG11B	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	LRIF1	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	KIRREL1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CD1A	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	OR6N1	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	LY9	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	UHMK1	HIGH	3.0
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	PSEN2	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ALKAL2	MODERATE	4.0
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CGREF1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	INO80B	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	NT5DC4	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	RFTN1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	DAG1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	SEMA5B	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	FAM184B	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ETNPPL	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	EDNRA	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	SLC6A18	MODERATE	4.0
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	AGXT2	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	SNX18	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CMYA5	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	MICA	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	PNRC1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	TAS2R3	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	TRBV17	HIGH	0.0
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	FABP12	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	FOCAD	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ANKRD18A	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ZER1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	PMPCA	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ATP5F1C	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	FFAR4	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	IGSF9B	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	MFSD5	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	PCBP2	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	IL22	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	OGFOD2	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CCDC168	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	SLC7A7	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	AJUBA	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	PSMB5	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	DNAAF2	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	KLF13	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	TRIM69	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ARID3B	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	KRT35	MODERATE	
